;inscription_dates;university;carrera;first_name;last_name;gender;age;postal_code;location;email
494;20/Dec/12;-universidad-abierta-interamericana;Licenciatura-en-ciencias-geológicas;;Sherri-diaz;F;;;Frigorifico-cap;Elizabeth22@hotmail.com
495;20/Sep/29;-universidad-abierta-interamericana;Ingeniería-electrónica;;Cindy-campbell;F;;;Alvarez;Mercadoangel@yahoo.com
496;20/Nov/26;-universidad-abierta-interamericana;Licenciatura-en-ciencias-de-la-educación-;;Nicholas-ferguson;M;;;Estancia-santa-catalina;Oliverjohn@gmail.com
497;21/Jan/03;-universidad-abierta-interamericana;Licenciatura-en-ciencia-política-;;Jonathan-smith;M;;;Grutly;Scottkurt@gmail.com
498;20/Dec/04;-universidad-abierta-interamericana;Licenciatura-en-ciencia-y-tecnología-de-alimentos;;Tracey-moore;F;;;Longchamps;Carolinemccall@gmail.com
499;20/Dec/09;-universidad-abierta-interamericana;Licenciatura-en-ciencia-política-;;Lynn-reed;F;;;Acerillos;Krystaldixon@gmail.com
500;20/Dec/13;-universidad-abierta-interamericana;Ingeniería-mecánica;;Vincent-valdez;M;;;Agua-colorada;Brownjeffrey@gmail.com
501;21/Jan/12;-universidad-abierta-interamericana;Agronomía;;Kyle-cardenas;M;;;Colonia-abate;Cabbott@hotmail.com
502;20/Sep/16;-universidad-abierta-interamericana;Licenciatura-en-terapia-ocupacional;;Christopher-fox;M;;;20-de-febrero;Richardcoleman@yahoo.com
503;20/Sep/22;-universidad-abierta-interamericana;Técnico-para-bioterios-;;Erin-rodriguez;F;;;La-tranca;Uthomas@hotmail.com
504;20/Dec/11;-universidad-abierta-interamericana;Técnico-para-bioterios-;;James-ramos;M;;;Cortaderas;Joseph20@yahoo.com
505;20/Oct/03;-universidad-abierta-interamericana;Actuario-;;Michelle-wilson;F;;;Barrio-el-tontal;Gnewton@hotmail.com
506;20/Oct/17;-universidad-abierta-interamericana;Técnico-para-bioterios-;;Robyn-terrell;F;;;Alto-jaguel;Dawn14@yahoo.com
507;20/Nov/02;-universidad-abierta-interamericana;Licenciatura-en-producción-de-bioimagenes;;Tyler-lamb;M;;;9-de-julio;Kingtracy@yahoo.com
508;20/Nov/30;-universidad-abierta-interamericana;Licenciatura-en-ciencias-geológicas;;Samantha-green;F;;;B-los-aromos-san-patricio;Rick81@hotmail.com
509;21/Jan/05;-universidad-abierta-interamericana;Licenciatura-en-ciencia-y-tecnología-de-alimentos;;Andrew-johnson;M;;;Granadero-baigorria;Smallvanessa@yahoo.com
510;21/Jan/01;-universidad-abierta-interamericana;Medicina;;Chris-lester;M;;;Cascada;Moonvictoria@hotmail.com
511;20/Dec/18;-universidad-abierta-interamericana;Actuario-;;Joshua-houston;M;;;Coronel-pringles;Teresa54@hotmail.com
512;20/Dec/02;-universidad-abierta-interamericana;Diseño-industrial;;Yolanda-terrell;F;;;Otto-bemberg;Katrinasutton@yahoo.com
513;20/Oct/07;-universidad-abierta-interamericana;Licenciatura-en-ciencias-antropológicas;;Donna-warner;F;;;Colonia-bombal-y-tabanera;Lopezjon@gmail.com
514;21/Jan/29;-universidad-abierta-interamericana;Licenciatura-en-kinesiología-y-fisiatría;;Matthew-steele;M;;;Desvio-kilometro-234;John94@hotmail.com
515;20/Sep/08;-universidad-abierta-interamericana;Licenciatura-en-planificación-y-diseño-del-paisaje;;Stephanie-ramirez;F;;;Balcosna;Lori85@hotmail.com
516;21/Jan/18;-universidad-abierta-interamericana;Licenciatura-en-psicología;;Laura-frey;F;;;Diamante;Teresastevens@yahoo.com
517;20/Oct/21;-universidad-abierta-interamericana;Licenciatura-en-relaciones-del-trabajo-;;Nicole-warren;F;;;Capihuas;Derrickarmstrong@yahoo.com
518;20/Oct/21;-universidad-abierta-interamericana;Licenciatura-en-ciencias-de-la-computación;;Joshua-cordova;M;;;Aldea-san-antonio;Jason55@hotmail.com
519;21/Jan/11;-universidad-abierta-interamericana;Medicina;;Jason-hunt;M;;;Emilio-lamarca;Nosborn@gmail.com
520;20/Nov/17;-universidad-abierta-interamericana;Licenciatura-en-ciencias-biológicas;;Thomas-rodriguez;M;;;Kilometro-184;Lindseyphillips@hotmail.com
521;21/Jan/01;-universidad-abierta-interamericana;Ciencias-veterinarias;;Rodney-diaz;M;;;Gobernador-benegas;Rhondahall@gmail.com
522;20/Oct/17;-universidad-abierta-interamericana;Diseño-industrial;;Robert-chen;M;;;Meson-de-fierro;Andreanichols@hotmail.com
523;20/Sep/17;-universidad-abierta-interamericana;Licenciatura-en-sociología-;;Sherry-williams;F;;;Belgrano;Lindacummings@yahoo.com
524;20/Nov/17;-universidad-abierta-interamericana;Licenciatura-en-planificación-y-diseño-del-paisaje;;Angelica-alvarado;F;;;Agua-de-castilla;Williamsvanessa@yahoo.com
525;20/Oct/01;-universidad-abierta-interamericana;Licenciatura-en-ciencias-de-la-computación;;Ann-allen;F;;;17-de-agosto;Marybrown@yahoo.com
526;20/Oct/15;-universidad-abierta-interamericana;Licenciatura-en-terapia-ocupacional;;Mrs.-dana-fischer;F;;;Centinela;Xadams@hotmail.com
527;20/Nov/26;-universidad-abierta-interamericana;Ingeniería-mecánica;;Amber-hamilton;F;;;Amuschina;Gregoryhughes@hotmail.com
528;20/Dec/28;-universidad-abierta-interamericana;Licenciatura-en-ciencias-biológicas;;Robert-schwartz;M;;;Glew;Harrisonmatthew@yahoo.com
529;20/Nov/23;-universidad-abierta-interamericana;Agronomía;;Patrick-murray;M;;;La-chilca;Jennifer21@yahoo.com
530;20/Sep/24;-universidad-abierta-interamericana;Contador-público-;;Cathy-carrillo;F;;;Asturias;Randy46@hotmail.com
531;20/Sep/02;-universidad-abierta-interamericana;Licenciatura-en-ciencias-biológicas;;Dustin-kelly;M;;;Lomas-del-mirador;Rachel26@yahoo.com
532;20/Oct/01;-universidad-abierta-interamericana;Licenciatura-en-artes;;Jordan-woods;M;;;Colonia-abate;Brandoncastillo@hotmail.com
533;20/Dec/20;-universidad-abierta-interamericana;Bioquímica;;Paula-barnes;F;;;La-querencia;Davidlisa@yahoo.com
534;20/Sep/08;-universidad-abierta-interamericana;Licenciatura-en-ciencias-ambientales;;Marcus-russell;M;;;Valentin-alsina;Yvonnewolfe@yahoo.com
535;20/Dec/09;-universidad-abierta-interamericana;Licenciatura-en-ciencias-ambientales;;Brian-richards;M;;;Ingeniero-balbin;Gabrieljones@gmail.com
536;20/Dec/09;-universidad-abierta-interamericana;Actuario-;;Jason-obrien;M;;;Altona;Sherrishaw@hotmail.com
537;20/Sep/18;-universidad-abierta-interamericana;Ingeniería-mecánica;;Stephanie-lewis;F;;;Agote;Thensley@hotmail.com
538;20/Dec/14;-universidad-abierta-interamericana;Técnico-para-bioterios-;;Renee-frost;F;;;Bagual;Jacquelinejohnson@hotmail.com
539;20/Nov/20;-universidad-abierta-interamericana;Técnico-para-bioterios-;;Phillip-gutierrez;M;;;Colonia-baron;Palmertiffany@yahoo.com
540;21/Jan/10;-universidad-abierta-interamericana;Farmacia;;Sara-parker;F;;;Gobernador-duval;William27@gmail.com
541;20/Sep/17;-universidad-abierta-interamericana;Licenciatura-en-sociología-;;Samuel-pierce;M;;;Barrientos;Moorekaitlyn@hotmail.com
542;21/Jan/19;-universidad-abierta-interamericana;Licenciatura-en-producción-de-bioimagenes;;Joshua-lane;M;;;Colonia-cunci;Randyjoseph@gmail.com
543;20/Nov/16;-universidad-abierta-interamericana;Técnico-para-bioterios-;;Brian-sanchez;M;;;Alto-del-puesto;Williamschristine@gmail.com
544;20/Oct/25;-universidad-abierta-interamericana;Licenciatura-en-planificación-y-diseño-del-paisaje;;Felicia-simon;F;;;Bajo-de-los-huesos;Tiffany74@yahoo.com
545;20/Sep/26;-universidad-abierta-interamericana;Ingeniería-electrónica;;Debra-smith;F;;;Caminera-samborombon;Darrell04@gmail.com
546;20/Oct/07;-universidad-abierta-interamericana;Ingeniería-electrónica;;Morgan-barrera;F;;;Armstrong;Moondaniel@hotmail.com
547;20/Dec/11;-universidad-abierta-interamericana;Técnico-para-bioterios-;;Richard-strong;M;;;Arroyo-quillen;Reginaespinoza@hotmail.com
548;21/Jan/19;-universidad-abierta-interamericana;Licenciatura-en-ciencias-de-la-educación-;;Dawn-weaver;F;;;Alagon;Hrichards@hotmail.com
549;20/Dec/13;-universidad-abierta-interamericana;Diseño-de-imagen-y-sonido;;Eric-harrison;M;;;Arroyo-de-la-cruz;Cabrerajoel@yahoo.com
550;20/Oct/13;-universidad-abierta-interamericana;Ingeniería-mecánica;;Rachel-brown;F;;;Albarracin;Kaylabrown@hotmail.com
551;20/Sep/18;-universidad-abierta-interamericana;Licenciatura-en-ciencias-de-la-computación;;Hannah-williamson;F;;;Alongo;Gallagherluis@hotmail.com
552;21/Jan/09;-universidad-abierta-interamericana;Licenciatura-en-ciencia-y-tecnología-de-alimentos;;Justin-harmon;M;;;Aparzo;Robert87@gmail.com
553;20/Dec/31;-universidad-abierta-interamericana;Licenciatura-en-ciencia-política-;;Christopher-woods;M;;;La-florencia;Epeters@hotmail.com
554;20/Nov/08;-universidad-abierta-interamericana;Licenciatura-en-ciencia-y-tecnología-de-alimentos;;Allison-hughes;F;;;Colonia-devoto;Flopez@hotmail.com
555;20/Dec/17;-universidad-abierta-interamericana;Bioquímica;;Neil-mueller;M;;;Cabaña-el-cisne;Carrolljoseph@gmail.com
556;20/Dec/13;-universidad-abierta-interamericana;Licenciatura-en-ciencias-biológicas;;Justin-rocha;M;;;9-de-julio;Qsmith@yahoo.com
557;20/Nov/16;-universidad-abierta-interamericana;Licenciatura-en-ciencias-biológicas;;David-gill;M;;;Claypole;Hernandezkevin@yahoo.com
558;20/Dec/24;-universidad-abierta-interamericana;Diseño-industrial;;Jacob-hughes;M;;;Arroyo-manganga;Nmorgan@gmail.com
559;20/Dec/06;-universidad-abierta-interamericana;Licenciatura-en-administración-;;Caleb-evans;M;;;Colonia-hernandarias;Jasonwalker@yahoo.com
560;20/Sep/26;-universidad-abierta-interamericana;Arquitectura;;Justin-carr;M;;;Barrio-indio-trompa;Hayden55@yahoo.com
561;20/Nov/06;-universidad-abierta-interamericana;Contador-público-;;Jamie-williamson;F;;;Berisso;Francopatricia@gmail.com
562;20/Nov/18;-universidad-abierta-interamericana;Licenciatura-en-ciencia-y-tecnología-de-alimentos;;Jennifer-banks;F;;;Buena-vista;Vmullins@hotmail.com
563;20/Sep/28;-universidad-abierta-interamericana;Licenciatura-en-ciencias-de-la-educación-;;Melissa-davis;F;;;Bajo-grande;Jonathanhart@yahoo.com
564;20/Nov/24;-universidad-abierta-interamericana;Farmacia;;Cristina-dalton;F;;;Agua-hedionda;Randall14@hotmail.com
565;20/Sep/11;-universidad-abierta-interamericana;Medicina;;April-gilbert;F;;;Caracoles;Hdudley@gmail.com
566;21/Jan/22;-universidad-abierta-interamericana;Ingeniería-electrónica;;Teresa-leach;F;;;El-carmen;Sarah44@hotmail.com
567;20/Dec/16;-universidad-abierta-interamericana;Licenciatura-en-musicoterapia;;Douglas-sanders;M;;;Arroyo-hondo;Ogreer@gmail.com
568;20/Sep/09;-universidad-abierta-interamericana;Agronomía;;Matthew-wheeler;M;;;Cervantes;Vgonzales@gmail.com
569;20/Sep/10;-universidad-abierta-interamericana;Licenciatura-en-ciencias-de-la-educación-;;Dan-wu;M;;;Campo-las-puertas;Bryanreyes@yahoo.com
570;20/Sep/30;-universidad-abierta-interamericana;Ciencias-veterinarias;;Stephanie-watson;F;;;Barrio-villa-cordoba;Simpsonbrenda@yahoo.com
571;21/Jan/28;-universidad-abierta-interamericana;Licenciatura-en-ciencias-ambientales;;Jared-kidd;M;;;Alto-de-las-plumas;Latoya97@hotmail.com
572;21/Jan/21;-universidad-abierta-interamericana;Licenciatura-en-musicoterapia;;Daniel-robinson;M;;;Gobernador-roca;Mhuynh@yahoo.com
573;20/Sep/28;-universidad-abierta-interamericana;Técnico-para-bioterios-;;Timothy-reed;M;;;Cañadon-seco;Sherryrodriguez@gmail.com
574;20/Dec/31;-universidad-abierta-interamericana;Licenciatura-en-ciencias-geológicas;;Luke-dixon;M;;;Chacras-viejas;Schaeferkaren@gmail.com
575;20/Dec/01;-universidad-abierta-interamericana;Ciencias-veterinarias;;Robert-eaton;M;;;Colonia-matilde;Jonathanchandler@hotmail.com
576;21/Jan/24;-universidad-abierta-interamericana;Ingeniería-en-informática;;Dawn-mayer;F;;;Cuartel-vii;Jennifer74@yahoo.com
577;20/Dec/23;-universidad-abierta-interamericana;Ingeniería-en-informática;;Julian-stephenson;M;;;Campo-horquesco;Danielle11@yahoo.com
578;21/Jan/23;-universidad-abierta-interamericana;Licenciatura-en-ciencias-ambientales;;Nancy-thomas;F;;;Barcena;Ugarrison@yahoo.com
579;21/Jan/18;-universidad-abierta-interamericana;Licenciatura-en-sociología-;;Cynthia-lloyd;F;;;Alpachiri;David65@gmail.com
580;20/Nov/21;-universidad-abierta-interamericana;Actuario-;;Lisa-wise;F;;;Avena;Sean77@yahoo.com
581;20/Sep/25;-universidad-abierta-interamericana;Medicina;;Sheri-king;F;;;Pazos-kanki;Steven02@hotmail.com
582;20/Dec/04;-universidad-abierta-interamericana;Ingeniería-en-informática;;Kevin-burke;M;;;Empalme;Swang@yahoo.com
583;20/Oct/24;-universidad-abierta-interamericana;Licenciatura-en-gestión-de-agroalimentos;;Joseph-martin;M;;;Ciudad-jardin-del-palomar;Thill@yahoo.com
584;20/Oct/10;-universidad-abierta-interamericana;Licenciatura-en-ciencia-política-;;Lindsey-stanley;F;;;Jose-maria-blanco;Kelleyteresa@hotmail.com
585;20/Nov/26;-universidad-abierta-interamericana;Técnico-para-bioterios-;;Jeremy-villegas;M;;;El-dique;Yatespaula@gmail.com
586;20/Nov/15;-universidad-abierta-interamericana;Medicina;;Jason-chavez;M;;;Altona;Wharris@gmail.com
587;20/Nov/12;-universidad-abierta-interamericana;Licenciatura-en-kinesiología-y-fisiatría;;Julie-stephenson;F;;;Chancay;Bridget71@yahoo.com
588;20/Sep/05;-universidad-abierta-interamericana;Licenciatura-en-psicología;;Alicia-cervantes;F;;;Colonia-dos-rosas-y-la-legua;Vmolina@yahoo.com
589;20/Nov/14;-universidad-abierta-interamericana;Licenciatura-en-ciencias-antropológicas;;Brenda-burnett;F;;;Gobernador-moyano;Evansalex@yahoo.com
590;20/Dec/08;-universidad-abierta-interamericana;Licenciatura-en-producción-de-bioimagenes;;Krista-ray;F;;;Alta-italia;Wmejia@yahoo.com
591;20/Sep/12;-universidad-abierta-interamericana;Contador-público-;;Monica-davis;F;;;Lomas-del-rio-lujan;Andrea64@gmail.com
592;20/Sep/14;-universidad-abierta-interamericana;Licenciatura-en-artes;;Erica-kim;F;;;Bosques;Vdecker@hotmail.com
593;21/Jan/21;-universidad-abierta-interamericana;Ingeniería-electrónica;;Amanda-ryan;F;;;Isidro-casanova;Ruiztodd@hotmail.com
594;20/Sep/16;-universidad-abierta-interamericana;Licenciatura-en-ciencia-política-;;Christine-mills;F;;;Drabble;Ispencer@yahoo.com
595;20/Nov/11;-universidad-abierta-interamericana;Licenciatura-en-administración-;;Alexis-peck;F;;;Gobernador-crespo;Sheilanash@hotmail.com
596;20/Dec/16;-universidad-abierta-interamericana;Bioquímica;;Bethany-johnson;F;;;Villa-santos-tesei;Brandon33@hotmail.com
597;20/Oct/01;-universidad-abierta-interamericana;Contador-público-;;April-george;F;;;Los-polvorines;Xjohnson@gmail.com
598;20/Dec/08;-universidad-abierta-interamericana;Agronomía;;Yvonne-ramsey-dvm;F;;;Ireneo-portela;Jacquelinemckee@hotmail.com
599;20/Dec/30;-universidad-abierta-interamericana;Licenciatura-en-musicoterapia;;Matthew-stone;M;;;Campo-rodriguez;Jgarcia@yahoo.com
600;20/Sep/20;-universidad-abierta-interamericana;Ciencias-veterinarias;;Greg-wolf;M;;;Aldea-beleiro;Johnhughes@hotmail.com
601;20/Nov/23;-universidad-abierta-interamericana;Licenciatura-en-sociología-;;Christopher-may;M;;;Capiovi;Sarahrogers@hotmail.com
602;20/Nov/01;-universidad-abierta-interamericana;Actuario-;;Tina-harris;F;;;Planicie-banderita;Mercerbenjamin@yahoo.com
603;20/Sep/12;-universidad-abierta-interamericana;Licenciatura-en-ciencia-y-tecnología-de-alimentos;;Michelle-nguyen;F;;;Baigorrita;Bakernicole@gmail.com
604;20/Dec/31;-universidad-abierta-interamericana;Licenciatura-en-relaciones-del-trabajo-;;Sara-stark;F;;;Campo-ubajo;Fgilmore@yahoo.com
605;20/Dec/31;-universidad-abierta-interamericana;Licenciatura-en-ciencias-ambientales;;Colleen-kane;F;;;Armstrong;Byrdrebecca@hotmail.com
606;20/Sep/06;-universidad-abierta-interamericana;Contador-público-;;Melanie-french;F;;;Cafferata;Taylorrandy@hotmail.com
607;20/Sep/12;-universidad-abierta-interamericana;Ingeniería-mecánica;;Morgan-miller;F;;;Antelo;Nsmith@gmail.com
608;21/Jan/23;-universidad-abierta-interamericana;Licenciatura-en-ciencias-de-la-computación;;Melissa-lloyd;F;;;Clason;Xwhite@yahoo.com
609;20/Dec/15;-universidad-abierta-interamericana;Licenciatura-en-musicoterapia;;Scott-gomez;M;;;Colman;Angela86@hotmail.com
610;20/Sep/23;-universidad-abierta-interamericana;Bioquímica;;Pamela-daniels;F;;;Isla-grande;Alexissmith@hotmail.com
611;21/Jan/21;-universidad-abierta-interamericana;Licenciatura-en-planificación-y-diseño-del-paisaje;;Joseph-mullen;M;;;Balsa;David60@hotmail.com
612;20/Oct/10;-universidad-abierta-interamericana;Diseño-de-imagen-y-sonido;;Lisa-holmes;F;;;Comodoro-rivadavia;Foneal@yahoo.com
613;20/Dec/14;-universidad-abierta-interamericana;Licenciatura-en-ciencias-ambientales;;Crystal-wu;F;;;Wheelwright;Brad32@yahoo.com
614;20/Sep/08;-universidad-abierta-interamericana;Licenciatura-en-ciencias-de-la-computación;;Breanna-jones;F;;;Cevil-grande;Wellsemily@yahoo.com
615;20/Dec/18;-universidad-abierta-interamericana;Licenciatura-en-terapia-ocupacional;;Peter-thompson;M;;;Caracoles;Johnsonsarah@gmail.com
616;20/Nov/27;-universidad-abierta-interamericana;Farmacia;;Crystal-martinez;F;;;Agua-los-matos;Williamscarly@yahoo.com
617;20/Dec/05;-universidad-abierta-interamericana;Licenciatura-en-ciencias-de-la-computación;;Robert-flores;M;;;Saladillo-norte;Howardkyle@gmail.com
618;20/Nov/18;-universidad-abierta-interamericana;Licenciatura-en-ciencias-de-la-educación-;;Carl-patel;M;;;Cushamen;Xgomez@gmail.com
619;21/Jan/28;-universidad-abierta-interamericana;Medicina;;Emily-franklin;F;;;Anguil;Xburke@yahoo.com
620;20/Dec/23;-universidad-abierta-interamericana;Medicina;;Joseph-patterson;M;;;El-trebol;Kerrpatricia@yahoo.com
621;20/Dec/26;-universidad-abierta-interamericana;Ciencias-veterinarias;;Troy-johnston;M;;;Bahia-langara;Wsmith@yahoo.com
622;20/Sep/06;-universidad-abierta-interamericana;Licenciatura-en-sociología-;;Luis-rodriguez;M;;;Calera-la-norma;Nhoward@hotmail.com
623;20/Oct/01;-universidad-abierta-interamericana;Licenciatura-en-ciencias-ambientales;;Mr.-christopher-hoffman;M;;;Carlos-keen;Stevensadam@gmail.com
624;20/Sep/29;-universidad-abierta-interamericana;Licenciatura-en-ciencias-ambientales;;Anna-santana;F;;;Cañadon-ferrais;Tinahill@hotmail.com
625;20/Dec/31;-universidad-abierta-interamericana;Licenciatura-en-ciencias-de-la-computación;;Ryan-hogan-dds;M;;;Candioti;Henrydavid@hotmail.com
626;20/Sep/23;-universidad-abierta-interamericana;Licenciatura-en-ciencias-de-la-computación;;Tyler-fisher;M;;;Abbott;Harrisdavid@yahoo.com
627;21/Jan/27;-universidad-abierta-interamericana;Ingeniería-mecánica;;Robert-martin;M;;;Aromos;Tfleming@yahoo.com
628;20/Dec/10;-universidad-abierta-interamericana;Licenciatura-en-ciencias-de-la-computación;;Scott-sloan;M;;;Barrio-chapadmalal;Isloan@hotmail.com
629;20/Nov/20;-universidad-abierta-interamericana;Licenciatura-en-ciencia-política-;;Brian-andrews;M;;;Piamonte;Jessica24@hotmail.com
630;21/Jan/09;-universidad-abierta-interamericana;Licenciatura-en-ciencia-política-;;Charlene-salas;F;;;Barranqueras;Martinantonio@yahoo.com
631;20/Dec/04;-universidad-abierta-interamericana;Licenciatura-en-artes;;Christopher-martin;M;;;Calera-argentina;Jsoto@gmail.com
632;21/Jan/16;-universidad-abierta-interamericana;Licenciatura-en-kinesiología-y-fisiatría;;Kimberly-patterson;F;;;Sundblad;Hmunoz@yahoo.com
633;20/Sep/25;-universidad-abierta-interamericana;Licenciatura-en-kinesiología-y-fisiatría;;Mitchell-reed;M;;;Alto-pencoso;Michael46@hotmail.com
634;20/Dec/15;-universidad-abierta-interamericana;Licenciatura-en-ciencias-antropológicas;;Jay-russo;M;;;Laguna-del-barro;Genehale@yahoo.com
635;20/Nov/17;-universidad-abierta-interamericana;Ciencias-veterinarias;;John-little;M;;;Cabreria;Fbean@gmail.com
636;20/Nov/16;-universidad-abierta-interamericana;Diseño-de-imagen-y-sonido;;Lisa-knapp;F;;;Gorchs;Armstrongdavid@yahoo.com
637;20/Oct/08;-universidad-abierta-interamericana;Licenciatura-en-ciencias-de-la-educación-;;Jeffrey-ellis;M;;;El-horno;Carolyncampbell@hotmail.com
638;21/Jan/22;-universidad-abierta-interamericana;Agronomía;;Crystal-mora;F;;;Florentino-ameghino;Trevorwalker@hotmail.com
639;21/Jan/12;-universidad-abierta-interamericana;Licenciatura-en-artes;;Kelly-rodriguez;F;;;Campo-caretto;Kwoodard@hotmail.com
640;20/Dec/20;-universidad-abierta-interamericana;Ingeniería-electrónica;;Carly-hill-md;F;;;Los-laureles;Kwilson@yahoo.com
641;20/Dec/14;-universidad-abierta-interamericana;Licenciatura-en-artes;;Lisa-young;F;;;Argentina-belvedere;Medinahannah@gmail.com
642;20/Sep/19;-universidad-abierta-interamericana;Licenciatura-en-ciencias-geológicas;;Stacy-leach;F;;;Cañadon-del-toro;Leslieayala@yahoo.com
643;20/Sep/28;-universidad-abierta-interamericana;Licenciatura-en-administración-;;Dr.-wendy-perez;F;;;El-brete;Jason80@hotmail.com
644;20/Nov/29;-universidad-abierta-interamericana;Licenciatura-en-artes;;Brian-murillo;M;;;Independencia;Martindennis@hotmail.com
645;20/Nov/21;-universidad-abierta-interamericana;Agronomía;;Andrea-ruiz;F;;;Calderon;Murphystacy@gmail.com
646;20/Dec/26;-universidad-abierta-interamericana;Licenciatura-en-ciencias-ambientales;;Sean-white;M;;;Barrio-batan;Ramirezbilly@hotmail.com
647;20/Dec/31;-universidad-abierta-interamericana;Medicina;;Allen-bright;M;;;Banda-florida;Martinezcody@hotmail.com
648;20/Nov/11;-universidad-abierta-interamericana;Licenciatura-en-ciencia-política-;;Robert-powell;M;;;Campo-medina;Jorgesmith@gmail.com
649;20/Oct/28;-universidad-abierta-interamericana;Licenciatura-en-psicología;;Lucas-hensley;M;;;Campo-quirno;Elizabethsmith@yahoo.com
650;20/Dec/29;-universidad-abierta-interamericana;Actuario-;;Michael-ho;M;;;Colonia-los-zapallos;Bschroeder@yahoo.com
651;20/Nov/14;-universidad-abierta-interamericana;Farmacia;;Joseph-bennett;M;;;Hospital-necochea;Barretterin@yahoo.com
652;20/Sep/05;-universidad-abierta-interamericana;Licenciatura-en-ciencias-de-la-computación;;Edwin-long;M;;;Alegre;Timothyjohnson@gmail.com
653;21/Jan/03;-universidad-abierta-interamericana;Licenciatura-en-ciencia-política-;;Joseph-baxter;M;;;Agua-de-castilla;Mbrown@yahoo.com
654;20/Sep/03;-universidad-abierta-interamericana;Medicina;;John-williams;M;;;Acassuso;Andersonpenny@gmail.com
655;20/Oct/14;-universidad-abierta-interamericana;Ciencias-veterinarias;;Stephanie-rogers;F;;;Claudio-c-molina;Zcross@yahoo.com
656;20/Nov/15;-universidad-abierta-interamericana;Arquitectura;;Kimberly-hughes;F;;;Agustin-mosconi;Rubenclark@yahoo.com
657;20/Dec/17;-universidad-abierta-interamericana;Licenciatura-en-ciencia-política-;;Bobby-stewart;M;;;Abra;Michelle60@gmail.com
658;20/Nov/24;-universidad-abierta-interamericana;Ciencias-veterinarias;;Ryan-perez;M;;;San-pedro-de-iruya;Lynnmatthew@gmail.com
659;20/Nov/30;-universidad-abierta-interamericana;Técnico-para-bioterios-;;Donna-parker;F;;;Baradero;Reedmelanie@hotmail.com
660;20/Oct/09;-universidad-abierta-interamericana;Bioquímica;;Elizabeth-barnes;F;;;Alfaland;Gparrish@gmail.com
661;20/Nov/18;-universidad-abierta-interamericana;Licenciatura-en-kinesiología-y-fisiatría;;Scott-brooks;M;;;Kilometro-112;Benjaminelliott@yahoo.com
662;21/Jan/19;-universidad-abierta-interamericana;Licenciatura-en-ciencia-y-tecnología-de-alimentos;;Jacob-mckay;M;;;Caichue;Patriciawilson@yahoo.com
663;20/Nov/29;-universidad-abierta-interamericana;Licenciatura-en-gestión-de-agroalimentos;;Christina-rocha;F;;;Gobernador-crespo;Robinsonthomas@yahoo.com
664;20/Nov/16;-universidad-abierta-interamericana;Licenciatura-en-sociología-;;Amanda-cunningham;F;;;Bustamante;Fosterjennifer@hotmail.com
665;20/Oct/29;-universidad-abierta-interamericana;Actuario-;;Elizabeth-glover;F;;;Barrio-don-santiago;Patricialong@yahoo.com
666;20/Sep/25;-universidad-abierta-interamericana;Ciencias-veterinarias;;Wanda-bennett;F;;;Gaboto;Lindahernandez@hotmail.com
667;21/Jan/25;-universidad-abierta-interamericana;Licenciatura-en-ciencia-y-tecnología-de-alimentos;;Jessica-martin;F;;;Gorchs;Gardneradam@yahoo.com
668;20/Sep/14;-universidad-abierta-interamericana;Licenciatura-en-artes;;Todd-spencer;M;;;Arequito;Jmullins@yahoo.com
669;20/Oct/20;-universidad-abierta-interamericana;Ingeniería-en-informática;;Melissa-miller;F;;;Algarrobo-grande;Jacquelinevasquez@hotmail.com
670;20/Oct/05;-universidad-abierta-interamericana;Licenciatura-en-relaciones-del-trabajo-;;Drew-byrd;M;;;Villa-saboya;Connie92@gmail.com
671;20/Dec/13;-universidad-abierta-interamericana;Licenciatura-en-ciencias-ambientales;;Heather-hoover;F;;;Arroyo-aguas-blancas;Mitchellcharles@gmail.com
672;20/Nov/28;-universidad-abierta-interamericana;Técnico-para-bioterios-;;Denise-harrison;F;;;Colpes;Davidherrera@yahoo.com
673;20/Sep/21;-universidad-abierta-interamericana;Diseño-de-imagen-y-sonido;;Angela-hill;F;;;Aguadita;Andrew86@yahoo.com
674;20/Dec/27;-universidad-abierta-interamericana;Ciencias-veterinarias;;Daniel-kidd;M;;;El-dique;Lindsay99@yahoo.com
675;21/Jan/16;-universidad-abierta-interamericana;Ingeniería-en-informática;;Eric-delacruz;M;;;Est-jauregui-va-flandria;Haleybyrd@gmail.com
676;20/Oct/05;-universidad-abierta-interamericana;Farmacia;;Jeremy-harrington;M;;;Cañadon-ferrais;Jennifer69@yahoo.com
677;20/Dec/03;-universidad-abierta-interamericana;Ciencias-veterinarias;;Travis-brewer;M;;;Calfucura;Jbrown@hotmail.com
678;20/Sep/20;-universidad-abierta-interamericana;Actuario-;;Edward-mcmillan;M;;;Catamontaña;Davisjustin@hotmail.com
679;20/Dec/08;-universidad-abierta-interamericana;Licenciatura-en-gestión-de-agroalimentos;;Brian-erickson;M;;;Alberti;Rebeccaroberson@gmail.com
680;21/Jan/06;-universidad-abierta-interamericana;Farmacia;;Lauren-kane;F;;;El-arbolito;David14@hotmail.com
681;20/Sep/23;-universidad-abierta-interamericana;Licenciatura-en-ciencias-de-la-educación-;;Linda-vang;F;;;Alcaraz-sud;John30@gmail.com
